slug,title,place,year,description,collections,coordinates,images,sizes,show
louvre,The Louvre glowing beneath a stormy Parisian sky.,"Louvre, Paris, France",2026,"The glass pyramid at the Louvre caught between electric light and a darkening sky, photographed from below as storm clouds gathered over the courtyard.","New releases, Architecture, Urban","48.8606° N, 2.3376° E",https://pub-072a6b055ac5436297717deddd7c9512.r2.dev/louvre-1.jpg | https://pub-072a6b055ac5436297717deddd7c9512.r2.dev/louvre-2.jpg,30 × 45 cm = 60 | 50 × 75 cm = 120 | 80 × 120 cm = 220,yes
bekaa,Snow-Capped Peaks of the Bekaa Valley.,"Bekaa Valley, Lebanon",2025,"Fresh snow on the ridge above the valley, lit for a few minutes through a break in low winter cloud before the weather closed in again.","New releases, Landscape","33.8463° N, 35.9020° E",https://pub-072a6b055ac5436297717deddd7c9512.r2.dev/bekaa-1.jpg | https://pub-072a6b055ac5436297717deddd7c9512.r2.dev/bekaa-2.jpg,30 × 45 cm = 60 | 50 × 75 cm = 120 | 80 × 120 cm = 220,yes
sannine,Snow and stone on the timeless slopes of Sannine.,"Sannine, Lebanon",2025,"Late snow breaking up across limestone on the upper slopes of Mount Sannine, where the pattern of melt and rock changes by the hour.","New releases, Landscape, Black and white","33.9403° N, 35.8686° E",https://pub-072a6b055ac5436297717deddd7c9512.r2.dev/sannine-1.jpg | https://pub-072a6b055ac5436297717deddd7c9512.r2.dev/sannine-2.jpg,30 × 45 cm = 60 | 50 × 75 cm = 120 | 80 × 120 cm = 220,yes
falougha,Golden Horizon Over the High Slopes of Falougha,"Falougha, Lebanon",2025,"The last band of sunset settling over the ridges above Falougha, with the valleys already gone to shadow below.","New releases, Landscape","33.8390° N, 35.7390° E",https://pub-072a6b055ac5436297717deddd7c9512.r2.dev/falougha-1.jpg | https://pub-072a6b055ac5436297717deddd7c9512.r2.dev/falougha-2.jpg | https://pub-072a6b055ac5436297717deddd7c9512.r2.dev/falougha-3.jpg | https://pub-072a6b055ac5436297717deddd7c9512.r2.dev/falougha-4.jpg | https://pub-072a6b055ac5436297717deddd7c9512.r2.dev/falougha-5.jpg,30 × 45 cm = 60 | 50 × 75 cm = 120 | 80 × 120 cm = 220,yes
red-wine,The Pouring of Red Wine,,,"A close-up shot captures rich, dark red wine as a smooth stream flows down from a bottle into a glass against a dark, moody background. The vivid crimson liquid catches light along its stream and forms a gentle layer of delicate, illuminated bubbles at the surface, contrasting sharply with the deep shadows around it.","New releases, Details",,https://pub-072a6b055ac5436297717deddd7c9512.r2.dev/red-wine-1.jpg | https://pub-072a6b055ac5436297717deddd7c9512.r2.dev/red-wine-2.jpg,30 × 45 cm = 60 | 50 × 75 cm = 120 | 80 × 120 cm = 220,yes
candles,"A hundred small prayers, lit one by one","Sacré-Cœur de Montmartre, Paris, France",,"Rows of glowing votive candles flicker in the dim light of Sacré-Cœur de Montmartre, a hand reaching in to light another as warm amber glow spills across glass and wax.","New releases, Details","48.8867° N, 2.3431° E",https://pub-072a6b055ac5436297717deddd7c9512.r2.dev/candles-1.jpg | https://pub-072a6b055ac5436297717deddd7c9512.r2.dev/candles-2.jpg,30 × 45 cm = 60 | 50 × 75 cm = 120 | 80 × 120 cm = 220,yes
pines,Where the pines keep their secrets.,"Falougha, Lebanon",,"A quiet pine forest in Falougha, its tall trunks fading into evening mist, with one glowing patch of grass breaking through the shadows.","New releases, Landscape","33.8390° N, 35.7390° E",https://pub-072a6b055ac5436297717deddd7c9512.r2.dev/pines-1.jpg | https://pub-072a6b055ac5436297717deddd7c9512.r2.dev/pines-2.jpg,30 × 45 cm = 60 | 50 × 75 cm = 120 | 80 × 120 cm = 220,yes
eiffel,Iron reaching for the storm.,"Eiffel Tower, Paris, France",,"A dramatic upward view of the Eiffel Tower's latticework against a heavy, cloud-streaked sky in monochrome.","New releases, Architecture, Urban, Black and white","48.8584° N, 2.2945° E",https://pub-072a6b055ac5436297717deddd7c9512.r2.dev/eiffel-1.jpg | https://pub-072a6b055ac5436297717deddd7c9512.r2.dev/eiffel-2.jpg,30 × 45 cm = 60 | 50 × 75 cm = 120 | 80 × 120 cm = 220,yes
sacre-coeur,A basilica against the coming storm.,"Sacré-Cœur, Montmartre, Paris, France",2026,"Sacré-Cœur's golden domes rise dramatically beneath heavy, brooding clouds, framed by bare winter trees on the Montmartre hillside.","New releases, Architecture, Urban, Black and white","48.8867° N, 2.3431° E",https://pub-072a6b055ac5436297717deddd7c9512.r2.dev/sacre-coeur-1.jpg | https://pub-072a6b055ac5436297717deddd7c9512.r2.dev/sacre-coeur-2.jpg,30 × 45 cm = 60 | 50 × 75 cm = 120 | 80 × 120 cm = 220,yes
baskinta,A sky untouched by the city.,"Baskinta, Lebanon",2026,"The Milky Way spills faintly over the dark silhouette of the mountains near Baskinta, countless stars scattered across the night.","New releases, Landscape","33.9833° N, 35.8500° E",https://pub-072a6b055ac5436297717deddd7c9512.r2.dev/baskinta-1.jpg | https://pub-072a6b055ac5436297717deddd7c9512.r2.dev/baskinta-2.jpg,30 × 45 cm = 60 | 50 × 75 cm = 120 | 80 × 120 cm = 220,yes
